"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.extension","MedicationKnowledge.indicationGuideline.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.modifierExtension","MedicationKnowledge.indicationGuideline.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.indication","MedicationKnowledge.indicationGuideline.indication","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClinicalUseDefinition]]}
","Indication for use that applies to the specific administration guideline","Indication or reason for use of the medication that applies to the specific administration guideline.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.indication",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline","MedicationKnowledge.indicationGuideline.dosingGuideline","","","",0,*,"","","","BackboneElement {[]} {[]}
","Guidelines for dosage of the medication","The guidelines for the dosage of the medication for the indication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.id","MedicationKnowledge.indicationGuideline.dosingGuideline.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.extension","MedicationKnowledge.indicationGuideline.dosingGuideline.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.modifierExtension","MedicationKnowledge.indicationGuideline.dosingGuideline.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.treatmentIntent","MedicationKnowledge.indicationGuideline.dosingGuideline.treatmentIntent","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Intention of the treatment","The overall intention of the treatment, for example, prophylactic, supporative, curative, etc.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.treatmentIntent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage","","","",0,*,"","","","BackboneElement {[]} {[]}
","Dosage for the medication for the specific guidelines","Dosage for the medication for the specific guidelines.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.dosage",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.id","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.extension","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.modifierExtension","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.type","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Category of dosage for a medication","The type or category of dosage for a given medication (for example, prophylaxis, maintenance, therapeutic, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.dosage","MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.dosage","","","",1,*,"","","","Dosage {[]} {[]}
","Dosage for the medication for the specific guidelines","Dosage for the medication for the specific guidelines.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.dosage.dosage",1,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment","MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of treatment the guideline applies to","The type of the treatment that the guideline applies to, for example, long term therapy, first line treatment, etc.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.administrationTreatment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic","","","",0,*,"","","","BackboneElement {[]} {[]}
","Characteristics of the patient that are relevant to the administration guidelines","Characteristics of the patient that are relevant to the administration guidelines (for example, height, weight, gender, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.id","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.extension","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.modifierExtension","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","Categorization of specific characteristic that is relevant to the administration guideline","The categorization of the specific characteristic that is relevant to the administration guideline (e.g. height, weight, gender).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]","MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]","","","",0,1,"","","","CodeableConcept {[]} {[]}
Quantity {[]} {[]}Range {[]} {[]}","The specific characteristic","The specific characteristic (e.g. height, weight, gender, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.indicationGuideline.dosingGuideline.patientCharacteristic.value[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.medicineClassification","MedicationKnowledge.medicineClassification","","","",0,*,"","","","BackboneElement {[]} {[]}
","Categorization of the medication within a formulary or classification system","Categorization of the medication within a formulary or classification system.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.medicineClassification.id","MedicationKnowledge.medicineClassification.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.medicineClassification.extension","MedicationKnowledge.medicineClassification.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.medicineClassification.modifierExtension","MedicationKnowledge.medicineClassification.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.medicineClassification.type","MedicationKnowledge.medicineClassification.type","","","",1,1,"","","","CodeableConcept {[]} {[]}
","The type of category for the medication (for example, therapeutic classification, therapeutic sub-classification)","The type of category for the medication (for example, therapeutic classification, therapeutic sub-classification).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification.type",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.medicineClassification.source[x]","MedicationKnowledge.medicineClassification.source[x]","","","",0,1,"","","","string {[]} {[]}
uri {[]} {[]}","The source of the classification","Either a textual source of the classification or a reference to an online source.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification.source[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.medicineClassification.classification","MedicationKnowledge.medicineClassification.classification","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Specific category assigned to the medication","Specific category assigned to the medication (e.g. anti-infective, anti-hypertensive, antibiotic, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.medicineClassification.classification",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.packaging","MedicationKnowledge.packaging","","","",0,*,"","","","BackboneElement {[]} {[]}
","Details about packaged medications","Information that only applies to packages (not products).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.packaging.id","MedicationKnowledge.packaging.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.packaging.extension","MedicationKnowledge.packaging.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.packaging.modifierExtension","MedicationKnowledge.packaging.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.packaging.cost","MedicationKnowledge.packaging.cost","","","",0,*,"","","","null {[]} {[]}
","Cost of the packaged medication","The cost of the packaged medication.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging.cost",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.packaging.packagedProduct","MedicationKnowledge.packaging.packagedProduct","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/PackagedProductDefinition]]}
","The packaged medication that is being priced","A reference to a PackagedProductDefinition that provides the details of the product that is in the packaging and is being priced.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.packaging.packagedProduct",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.clinicalUseIssue","MedicationKnowledge.clinicalUseIssue","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ClinicalUseDefinition]]}
","Potential clinical issue with or between medication(s)","Potential clinical issue with or between medication(s) (for example, drug-drug interaction, drug-disease contraindication, drug-allergy interaction, etc.).","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.clinicalUseIssue",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.storageGuideline","MedicationKnowledge.storageGuideline","","","",0,*,"","","","BackboneElement {[]} {[]}
","How the medication should be stored","Information on how the medication should be stored, for example, refrigeration temperatures and length of stability at a given temperature.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.id","MedicationKnowledge.storageGuideline.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IdentifiableMedication","MedicationKnowledge.storageGuideline.extension","MedicationKnowledge.storageGuideline.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.modifierExtension","MedicationKnowledge.storageGuideline.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.reference","MedicationKnowledge.storageGuideline.reference","","","",0,1,"","","","uri {[]} {[]}
","Reference to additional information","Reference to additional information about the storage guidelines.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.note","MedicationKnowledge.storageGuideline.note","","","",0,*,"","","","Annotation {[]} {[]}
","Additional storage notes","Additional notes about the storage.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.stabilityDuration","MedicationKnowledge.storageGuideline.stabilityDuration","","","",0,1,"","","","Duration {[]} {[]}
","Duration remains stable","Duration that the medication remains stable if the environmentalSetting is respected.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.stabilityDuration",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IdentifiableMedication","MedicationKnowledge.storageGuideline.environmentalSetting","MedicationKnowledge.storageGuideline.environmentalSetting","","","",0,*,"","","","BackboneElement {[]} {[]}
","Setting or value of environment for adequate storage","Describes a setting/value on the environment for the adequate storage of the medication and other substances.  Environment settings may involve temperature, humidity, or exposure to light.","","","","","","","","","",,,,,"",,,,"MedicationKnowledge.storageGuideline.environmentalSetting",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
